timestamp_ms,endpoint,status,latency_ms,success,error
1784875362124,product,200,79.15,1,
1784875362125,order,200,76.23,1,
1784875362125,inventory,200,77.43,1,
1784875362202,order,200,6.82,1,
1784875362202,inventory,200,9.22,1,
1784875362203,product,200,5.16,1,
1784875362222,inventory,200,11.9,1,
1784875362222,order,200,12.76,1,
1784875362223,product,200,6.08,1,
1784875362242,inventory,200,4.81,1,
1784875362242,order,200,6.79,1,
1784875362245,product,200,7.97,1,
1784875362262,order,200,9.14,1,
1784875362263,inventory,200,4.25,1,
1784875362265,product,200,4.91,1,
1784875362282,order,200,7.16,1,
1784875362283,inventory,200,6.3,1,
1784875362285,product,200,4.39,1,
1784875362302,order,200,6.77,1,
1784875362303,inventory,200,8.0,1,
1784875362305,product,200,7.07,1,
1784875362322,order,200,5.14,1,
1784875362323,inventory,200,4.42,1,
1784875362326,product,200,5.03,1,
1784875362342,order,200,7.86,1,
1784875362343,inventory,200,6.15,1,
1784875362346,product,200,7.12,1,
1784875362362,order,200,6.43,1,
1784875362363,inventory,200,12.73,1,
1784875362366,product,200,9.06,1,
1784875362383,inventory,200,15.53,1,
1784875362383,order,200,23.29,1,
1784875362386,product,200,10.88,1,
1784875362405,inventory,200,78.06,1,
1784875362406,order,200,22.25,1,
1784875362406,product,200,37.3,1,
1784875362428,order,200,23.63,1,
1784875362444,product,200,13.71,1,
1784875362452,order,200,9.02,1,
1784875362464,product,200,12.57,1,
1784875362472,order,200,10.14,1,
1784875362483,inventory,200,5.29,1,
1784875362484,product,200,12.72,1,
1784875362492,order,200,22.9,1,
1784875362503,inventory,200,7.15,1,
1784875362504,product,200,18.13,1,
1784875362515,order,200,5.81,1,
1784875362523,inventory,200,4.48,1,
1784875362524,product,200,4.61,1,
1784875362535,order,200,5.02,1,
1784875362543,inventory,200,4.46,1,
1784875362544,product,200,3.89,1,
1784875362555,order,200,4.46,1,
1784875362563,inventory,200,5.83,1,
1784875362564,product,200,4.53,1,
1784875362576,order,200,4.19,1,
1784875362583,inventory,200,4.24,1,
1784875362584,product,200,3.69,1,
1784875362596,order,200,4.29,1,
1784875362603,inventory,200,4.42,1,
1784875362605,product,200,4.46,1,
1784875362616,order,200,6.6,1,
1784875362624,inventory,200,6.03,1,
1784875362625,product,200,6.32,1,
1784875362636,order,200,6.67,1,
1784875362644,inventory,200,7.1,1,
1784875362645,product,200,6.71,1,
1784875362656,order,200,6.73,1,
1784875362664,inventory,200,6.47,1,
1784875362665,product,200,6.69,1,
1784875362676,order,200,6.36,1,
1784875362684,inventory,200,6.45,1,
1784875362685,product,200,6.87,1,
1784875362696,order,200,7.04,1,
1784875362704,inventory,200,6.44,1,
1784875362705,product,200,6.34,1,
1784875362717,order,200,6.77,1,
1784875362725,inventory,200,6.01,1,
1784875362725,product,200,6.36,1,
1784875362737,order,200,7.05,1,
1784875362745,inventory,200,6.13,1,
1784875362746,product,200,6.25,1,
1784875362757,order,200,6.56,1,
1784875362765,inventory,200,6.65,1,
1784875362766,product,200,5.99,1,
1784875362777,order,200,6.74,1,
1784875362785,inventory,200,29.02,1,
1784875362786,product,200,29.32,1,
1784875362797,order,200,20.87,1,
1784875362814,inventory,200,38.11,1,
1784875362815,product,200,31.47,1,
1784875362818,order,200,24.1,1,
1784875362842,order,200,21.18,1,
1784875362847,product,200,11.53,1,
1784875362852,inventory,200,13.1,1,
1784875362864,order,200,7.96,1,
1784875362867,product,200,6.52,1,
1784875362872,inventory,200,5.75,1,
1784875362884,order,200,6.28,1,
1784875362887,product,200,6.26,1,
1784875362893,inventory,200,4.97,1,
1784875362904,order,200,6.87,1,
1784875362907,product,200,6.83,1,
1784875362913,inventory,200,6.19,1,
1784875362924,order,200,6.41,1,
1784875362927,product,200,6.66,1,
1784875362933,inventory,200,6.9,1,
1784875362944,order,200,6.98,1,
1784875362947,product,200,6.46,1,
1784875362954,inventory,200,6.65,1,
1784875362964,order,200,6.07,1,
1784875362968,product,200,6.79,1,
1784875362974,inventory,200,6.23,1,
1784875362985,order,200,6.35,1,
1784875362988,product,200,6.57,1,
1784875362995,inventory,200,5.74,1,
1784875363005,order,200,6.7,1,
1784875363008,product,200,6.22,1,
1784875363015,inventory,200,6.1,1,
1784875363025,order,200,7.39,1,
1784875363028,product,200,6.12,1,
1784875363035,inventory,200,6.22,1,
1784875363045,order,200,5.97,1,
1784875363048,product,200,7.01,1,
1784875363055,inventory,200,6.1,1,
1784875363065,order,200,6.49,1,
1784875363068,product,200,6.01,1,
1784875363075,inventory,200,5.6,1,
1784875363085,order,200,6.92,1,
1784875363088,product,200,6.02,1,
1784875363096,inventory,200,6.0,1,
1784875363105,order,200,6.55,1,
1784875363109,product,200,6.93,1,
1784875363116,inventory,200,5.63,1,
1784875363126,order,200,6.66,1,
1784875363129,product,200,5.78,1,
1784875363136,inventory,200,5.72,1,
1784875363146,order,200,6.06,1,
1784875363149,product,200,5.87,1,
1784875363156,inventory,200,6.79,1,
1784875363166,order,200,8.16,1,
1784875363169,product,200,7.68,1,
1784875363177,inventory,200,7.31,1,
1784875363186,order,200,8.02,1,
1784875363191,product,200,28.52,1,
1784875363197,inventory,200,41.46,1,
1784875363219,product,200,13.47,1,
1784875363239,inventory,200,15.66,1,
1784875363239,product,200,18.94,1,
1784875363249,order,200,9.43,1,
1784875363259,inventory,200,6.98,1,
1784875363259,product,200,7.49,1,
1784875363269,order,200,6.35,1,
1784875363279,inventory,200,4.32,1,
1784875363280,product,200,4.19,1,
1784875363289,order,200,4.04,1,
1784875363299,inventory,200,4.08,1,
1784875363300,product,200,3.79,1,
1784875363309,order,200,4.11,1,
1784875363319,inventory,200,6.33,1,
1784875363320,product,200,5.76,1,
1784875363329,order,200,4.26,1,
1784875363339,inventory,200,5.66,1,
1784875363340,product,200,5.98,1,
1784875363349,order,200,4.73,1,
1784875363359,inventory,200,4.1,1,
1784875363360,product,200,4.1,1,
1784875363370,order,200,4.19,1,
